Source,Target,Value
Austria,France,6
Austria,Hungary,6
Hungary,Russia,5
Germany,Russia,16
Germany,Ukraine,10
Austria,Germany,12
Germany,Italy,9
France,Poland,11
France,Germany,11
Germany,Poland,17
Estonia,Germany,5
Estonia,Latvia,6
Latvia,Lithuania,6
Finland,Lithuania,5
Finland,Germany,5
Netherlands,Poland,5
Luxembourg,Netherlands,6
Belgium,Luxembourg,3
Belgium,Denmark,5
Denmark,Norway,12
Denmark,Sweden,5
Germany,Sweden,6
France,Italy,5
Greece,Italy,5
Germany,Greece,3
Albania,Greece,12
Belarus,Ukraine,6
Belarus,Libya,2
Egypt,Libya,15
Egypt,Iraq,5
Iran,Iraq,6
